GeneID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
7099	O00206	TLR4_HUMAN	reviewed	Toll-like receptor 4 (EC 3.2.2.6) (hToll) (CD antigen CD284)	TLR4	Homo sapiens (Human)	839	activation of MAPK activity [GO:0000187]; apoptotic signaling pathway [GO:0097190]; astrocyte development [GO:0014002]; B cell proliferation involved in immune response [GO:0002322]; cellular response to amyloid-beta [GO:1904646]; cellular response to interferon-gamma [GO:0071346]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to mechanical stimulus [GO:0071260]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; detection of fungus [GO:0016046]; detection of lipopolysaccharide [GO:0032497]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; I-kappaB phosphorylation [GO:0007252]; immune response [GO:0006955]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interferon-gamma production [GO:0032609]; interleukin-1 beta secretion [GO:0050702]; intestinal epithelial structure maintenance [GO:0060729]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macrophage activation [GO:0042116]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; necroptotic process [GO:0070266]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-23 production [GO:0032707]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of MyD88-independent toll-like receptor signaling pathway [GO:0034128]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of tumor necrosis factor production [GO:0032720]; nitric oxide production involved in inflammatory response [GO:0002537]; phagocytosis [GO:0006909]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cellular response to macrophage colony-stimulating factor stimulus [GO:1903974]; positive regulation of chemokine (C-C motif) ligand 2 secretion [GO:1904209]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta biosynthetic process [GO:0045359]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 biosynthetic process [GO:0045084]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-1 beta secretion [GO:0050718]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of interleukin-8 biosynthetic process [GO:0045416]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of interleukin-8 secretion [GO:2000484]; positive regulation of JNK cascade [GO:0046330]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of macrophage activation [GO:0043032]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of matrix metallopeptidase secretion [GO:1904466]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070430]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of oxidative stress-induced neuron death [GO:1903223]; positive regulation of platelet activation [GO:0010572]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of dendritic cell cytokine production [GO:0002730]; response to lipopolysaccharide [GO:0032496]; T-helper 1 type immune response [GO:0042088]; toll-like receptor 4 signaling pathway [GO:0034142]; toll-like receptor signaling pathway [GO:0002224]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; lipopolysaccharide receptor complex [GO:0046696]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ruffle [GO:0001726]	"amyloid-beta binding [GO:0001540]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; lipopolysaccharide immune receptor activity [GO:0001875]; NAD(P)+ nucleosidase activity [GO:0050135]; NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]; protein heterodimerization activity [GO:0046982]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]; transmembrane signaling receptor activity [GO:0004888]"
8797	O00220	TR10A_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261)	TNFRSF10A APO2 DR4 TRAILR1	Homo sapiens (Human)	468	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of NF-kappaB-inducing kinase activity [GO:0007250]; apoptotic process [GO:0006915]; cell surface receptor signaling pathway [GO:0007166]; cellular response to mechanical stimulus [GO:0071260]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; leukocyte migration [GO:0050900]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; positive regulation of apoptotic process [GO:0043065]; regulation of apoptotic process [GO:0042981]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; signal transduction [GO:0007165]; TRAIL-activated apoptotic signaling pathway [GO:0036462]	cell surface [GO:0009986]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	death receptor activity [GO:0005035]; identical protein binding [GO:0042802]; protease binding [GO:0002020]; signaling receptor activity [GO:0038023]; TRAIL binding [GO:0045569]; transcription factor binding [GO:0008134]
10326	O00241	SIRB1_HUMAN	reviewed	Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b)	SIRPB1	Homo sapiens (Human)	398	cell surface receptor signaling pathway [GO:0007166]; innate immune response [GO:0045087]; neutrophil degranulation [GO:0043312]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of phagocytosis [GO:0050766]; positive regulation of T cell activation [GO:0050870]; signal transduction [GO:0007165]	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	
11045	O00322	UPK1A_HUMAN	reviewed	Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa)	UPK1A TSPAN21	Homo sapiens (Human)	258	epithelial cell differentiation [GO:0030855]	apical plasma membrane urothelial plaque [GO:0120001]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	
9034	O00421	CCRL2_HUMAN	reviewed	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	CCRL2 CCR11 CCR6 CKRX CRAM HCR	Homo sapiens (Human)	344	calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; CCR chemokine receptor binding [GO:0048020]; chemokine binding [GO:0019956]; chemokine receptor activity [GO:0004950]; chemokine receptor binding [GO:0042379]
2675	O00451	GFRA2_HUMAN	reviewed	GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2)	GFRA2 GDNFRB RETL2 TRNR2	Homo sapiens (Human)	464	axon guidance [GO:0007411]; MAPK cascade [GO:0000165]; negative regulation of protein autophosphorylation [GO:0031953]; nervous system development [GO:0007399]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	anchored component of membrane [GO:0031225]; external side of plasma membrane [GO:0009897]; extrinsic component of membrane [GO:0019898]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	glial cell-derived neurotrophic factor receptor activity [GO:0016167]; signaling receptor activity [GO:0038023]
10384	O00478	BT3A3_HUMAN	reviewed	Butyrophilin subfamily 3 member A3	BTN3A3 BTF3	Homo sapiens (Human)	584	regulation of cytokine production [GO:0001817]; regulation of immune response [GO:0050776]; T cell mediated immunity [GO:0002456]; T cell receptor signaling pathway [GO:0050852]	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	signaling receptor binding [GO:0005102]
11119	O00481	BT3A1_HUMAN	reviewed	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	BTN3A1 BTF5	Homo sapiens (Human)	513	activated T cell proliferation [GO:0050798]; adaptive immune response [GO:0002250]; cytokine secretion [GO:0050663]; interferon-gamma secretion [GO:0072643]; regulation of cytokine production [GO:0001817]; regulation of immune response [GO:0050776]; T cell receptor signaling pathway [GO:0050852]	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	signaling receptor binding [GO:0005102]
10663	O00574	CXCR6_HUMAN	reviewed	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	CXCR6 BONZO STRL33 TYMSTR	Homo sapiens (Human)	342	calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; viral genome replication [GO:0019079]	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine binding [GO:0019956]; coreceptor activity [GO:0015026]; C-X-C chemokine binding [GO:0019958]; C-X-C chemokine receptor activity [GO:0016494]; G protein-coupled receptor activity [GO:0004930]
1238	O00590	ACKR2_HUMAN	reviewed	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	ACKR2 CCBP2 CCR10 CMKBR9 D6	Homo sapiens (Human)	384	calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; multicellular organism development [GO:0007275]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	actin filament [GO:0005884]; cell [GO:0005623]; cytosol [GO:0005829]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine binding [GO:0019956]; chemokine receptor activity [GO:0004950]; scavenger receptor activity [GO:0005044]
2219	O00602	FCN1_HUMAN	reviewed	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	FCN1 FCNM	Homo sapiens (Human)	326	"cell surface pattern recognition receptor signaling pathway [GO:0002752]; complement activation [GO:0006956]; complement activation, lectin pathway [GO:0001867]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of viral entry into host cell [GO:0046597]; neutrophil degranulation [GO:0043312]; positive regulation of interleukin-8 secretion [GO:2000484]; protein localization to cell surface [GO:0034394]; recognition of apoptotic cell [GO:0043654]"	collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; extracellular region [GO:0005576]; extrinsic component of external side of plasma membrane [GO:0031232]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]	carbohydrate binding [GO:0030246]; G protein-coupled receptor binding [GO:0001664]; metal ion binding [GO:0046872]; pattern recognition receptor activity [GO:0038187]; sialic acid binding [GO:0033691]
7476	O00755	WNT7A_HUMAN	reviewed	Protein Wnt-7a	WNT7A	Homo sapiens (Human)	349	"angiogenesis [GO:0001525]; asymmetric protein localization involved in cell fate determination [GO:0045167]; axonogenesis [GO:0007409]; canonical Wnt signaling pathway [GO:0060070]; cartilage condensation [GO:0001502]; cell fate commitment [GO:0045165]; cell proliferation in forebrain [GO:0021846]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system vasculogenesis [GO:0022009]; cerebellar granule cell differentiation [GO:0021707]; chondrocyte differentiation [GO:0002062]; dendritic spine morphogenesis [GO:0060997]; dorsal/ventral pattern formation [GO:0009953]; embryonic axis specification [GO:0000578]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; establishment of cell polarity [GO:0030010]; excitatory synapse assembly [GO:1904861]; lens fiber cell development [GO:0070307]; negative regulation of apoptotic process [GO:0043066]; negative regulation of neurogenesis [GO:0050768]; neuron differentiation [GO:0030182]; neurotransmitter secretion [GO:0007269]; oviduct development [GO:0060066]; positive regulation of cellular protein metabolic process [GO:0032270]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of excitatory synapse assembly [GO:1904891]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein localization to presynapse [GO:1905386]; positive regulation of synapse assembly [GO:0051965]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; postsynapse assembly [GO:0099068]; presynapse assembly [GO:0099054]; regulation of axon diameter [GO:0031133]; regulation of postsynapse organization [GO:0099175]; regulation of presynapse assembly [GO:1905606]; regulation of synaptic vesicle exocytosis [GO:2000300]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; secondary palate development [GO:0062009]; sex differentiation [GO:0007548]; skeletal muscle satellite cell activation [GO:0014719]; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration [GO:0014834]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; stem cell development [GO:0048864]; synaptic vesicle recycling [GO:0036465]; uterus morphogenesis [GO:0061038]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; wound healing, spreading of epidermal cells [GO:0035313]"	cell surface [GO:0009986]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; Schaffer collateral - CA1 synapse [GO:0098685]	cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]
